season,team,var_exp
1995-96,ATL,4.49
1995-96,BOS,21.8181818181818
1995-96,CHH,47.603305785124
1995-96,CHI,11.29
1995-96,CLE,9.91666666666667
1995-96,DAL,3.64
1995-96,DEN,10.61
1995-96,DET,18.5432098765432
1995-96,GSW,51.0555555555556
1995-96,HOU,3.65432098765432
1995-96,IND,9.984375
1995-96,LAC,2.17283950617284
1995-96,LAL,2.89
1995-96,MIA,50.5763888888889
1995-96,MIL,14.6172839506173
1995-96,MIN,9.10743801652893
1995-96,NJN,6.02469135802469
1995-96,NYK,43.09
1995-96,ORL,5.95918367346939
1995-96,PHI,4.484375
1995-96,PHO,15.5371900826446
1995-96,POR,9.38775510204082
1995-96,SAC,11.358024691358
1995-96,SAS,8.734375
1995-96,SEA,14.530612244898
1995-96,TOR,7.109375
1995-96,TOT,23.6222222222222
1995-96,UTA,11.5802469135802
1995-96,VAN,9.10204081632653
1995-96,WSB,2.1875
1996-97,ATL,9.25
1996-97,BOS,21.702479338843
1996-97,CHH,44.1301775147929
1996-97,CHI,10.6666666666667
1996-97,CLE,13.2396694214876
1996-97,DAL,7.44888888888889
1996-97,DEN,13.9722222222222
1996-97,DET,11.7190082644628
1996-97,GSW,5.77777777777778
1996-97,HOU,14.56
1996-97,IND,11.900826446281
1996-97,LAC,2.96
1996-97,LAL,12.9591836734694
1996-97,MIA,39.9097222222222
1996-97,MIL,10.2222222222222
1996-97,MIN,11.3055555555556
1996-97,NJN,8.07638888888889
1996-97,NYK,43.4320987654321
1996-97,ORL,7.65432098765432
1996-97,PHI,10.2222222222222
1996-97,PHO,13.8222222222222
1996-97,POR,7.1875
1996-97,SAC,8.24691358024691
1996-97,SAS,12.6666666666667
1996-97,SEA,19.358024691358
1996-97,TOR,7.50413223140496
1996-97,TOT,8.57142857142857
1996-97,UTA,16.1875
1996-97,VAN,4.0
1996-97,WSB,5.27272727272727
1997-98,ATL,13.3223140495868
1997-98,BOS,15.75
1997-98,CHH,43.2857142857143
1997-98,CHI,14.5555555555556
1997-98,CLE,7.50413223140496
1997-98,DAL,11.207100591716
1997-98,DEN,10.2479338842975
1997-98,DET,5.17355371900826
1997-98,GSW,9.82006920415225
1997-98,HOU,16.8888888888889
1997-98,IND,20.5
1997-98,LAC,4.85416666666667
1997-98,LAL,3.33333333333333
1997-98,MIA,29.0726643598616
1997-98,MIL,8.01652892561983
1997-98,MIN,9.6094674556213
1997-98,NJN,12.0165289256198
1997-98,NYK,49.1735537190083
1997-98,ORL,11.1404958677686
1997-98,PHI,15.196675900277
1997-98,PHO,8.95867768595041
1997-98,POR,6.42666666666667
1997-98,SAC,18.8760330578512
1997-98,SAS,14.6
1997-98,SEA,18.9256198347107
1997-98,TOR,10.6149584487535
1997-98,TOT,16.6091612135634
1997-98,UTA,18.24
1997-98,VAN,11.603305785124
1997-98,WAS,6.56198347107438
1998-99,ATL,26.0826446280992
1998-99,BOS,7.13888888888889
1998-99,CHH,12.6875
1998-99,CHI,20.4852071005917
1998-99,CLE,11.21484375
1998-99,DAL,12.7692307692308
1998-99,DEN,3.70247933884298
1998-99,DET,5.28925619834711
1998-99,GSW,21.3055555555556
1998-99,HOU,16.4722222222222
1998-99,IND,19.9722222222222
1998-99,LAC,6.37244897959184
1998-99,LAL,31.15234375
1998-99,MIA,38.3520408163265
1998-99,MIL,12.8672839506173
1998-99,MIN,8.49691358024691
1998-99,NJN,6.05246913580247
1998-99,NYK,32.0710059171598
1998-99,ORL,11.8888888888889
1998-99,PHI,12.6326530612245
1998-99,PHO,17.3223140495868
1998-99,POR,8.06222222222222
1998-99,SAC,10.7397959183673
1998-99,SAS,21.6875
1998-99,SEA,23.0255102040816
1998-99,TOR,31.5976331360947
1998-99,TOT,8.76543209876543
1998-99,UTA,9.89
1998-99,VAN,9.17355371900826
1998-99,WAS,16.2857142857143
1999-00,ATL,8.5207100591716
1999-00,BOS,11.2622222222222
1999-00,CHH,20.7612456747405
1999-00,CHI,15.56
1999-00,CLE,16.36
1999-00,DAL,8.37109375
1999-00,DEN,8.59515570934256
1999-00,DET,7.22666666666667
1999-00,GSW,17.9017013232514
1999-00,HOU,7.89333333333333
1999-00,IND,25.0208333333333
1999-00,LAC,7.28719723183391
1999-00,LAL,46.375
1999-00,MIA,40.0625
1999-00,MIL,21.4933333333333
1999-00,MIN,12.2366863905325
1999-00,NJN,16.5155555555556
1999-00,NYK,30.609375
1999-00,ORL,5.67313019390582
1999-00,PHI,8.22222222222222
1999-00,PHO,15.0034602076125
1999-00,POR,15.9722222222222
1999-00,SAC,20.8010204081633
1999-00,SAS,21.5969387755102
1999-00,SEA,19.6938775510204
1999-00,TOR,33.6608996539792
1999-00,TOT,15.5969387755102
1999-00,UTA,19.8347107438017
1999-00,VAN,19.4933333333333
1999-00,WAS,10.6488888888889
2000-01,ATL,9.81198347107438
2000-01,BOS,8.76124567474049
2000-01,CHH,22.40234375
2000-01,CHI,1.93359375
2000-01,CLE,12.66
2000-01,DAL,15.21
2000-01,DEN,18.1388888888889
2000-01,DET,11.4117647058824
2000-01,GSW,13.3922902494331
2000-01,HOU,9.10204081632653
2000-01,IND,20.0867346938776
2000-01,LAC,8.16
2000-01,LAL,22.6488888888889
2000-01,MIA,42.49609375
2000-01,MIL,17.3155555555556
2000-01,MIN,11.84
2000-01,NJN,16.2437673130194
2000-01,NYK,31.0311418685121
2000-01,ORL,12.8304498269896
2000-01,PHI,11.5802469135802
2000-01,PHO,19.68359375
2000-01,POR,16.2295918367347
2000-01,SAC,14.1020408163265
2000-01,SAS,22.3724489795918
2000-01,SEA,31.2307692307692
2000-01,TOR,29.91
2000-01,TOT,16.554347826087
2000-01,UTA,19.0763888888889
2000-01,VAN,15.8222222222222
2000-01,WAS,12.9475
2001-02,ATL,6.05246913580247
2001-02,BOS,9.83984375
2001-02,CHH,14.9155555555556
2001-02,CHI,16.8024691358025
2001-02,CLE,13.0222222222222
2001-02,DAL,33.3922902494331
2001-02,DEN,30.3326446280992
2001-02,DET,17.1822222222222
2001-02,GSW,10.6222222222222
2001-02,HOU,39.2622222222222
2001-02,IND,5.11418685121107
2001-02,LAC,8.125
2001-02,LAL,15.4081632653061
2001-02,MEM,21.6539792387543
2001-02,MIA,19.5625
2001-02,MIL,11.5714285714286
2001-02,MIN,13.18359375
2001-02,NJN,8.74609375
2001-02,NYK,10.0867346938775
2001-02,ORL,32.9166666666667
2001-02,PHI,16.8302469135802
2001-02,PHO,19.606648199446
2001-02,POR,20.8571428571429
2001-02,SAC,15.9234693877551
2001-02,SAS,20.780612244898
2001-02,SEA,7.39555555555556
2001-02,TOR,14.87109375
2001-02,TOT,22.4578563995838
2001-02,UTA,14.9722222222222
2001-02,WAS,12.2485207100592
2002-03,ATL,6.24943310657597
2002-03,BOS,16.6920415224914
2002-03,CHI,9.79555555555556
2002-03,CLE,14.530612244898
2002-03,DAL,14.1245674740484
2002-03,DEN,15.5875
2002-03,DET,19.2
2002-03,GSW,7.43359375
2002-03,HOU,21.77734375
2002-03,IND,22.9955555555556
2002-03,LAC,8.29333333333333
2002-03,LAL,18.9795918367347
2002-03,MEM,5.88235294117647
2002-03,MIA,11.3877551020408
