Team\Season,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
ATL,4.47619047619048,4.04347826086957,6.05,2.8,3.05263157894737,3.875,3.8,5.78571428571429,6.0,7.9375,5.44444444444444,3.77777777777778,4.75,5.875
BOS,5.88235294117647,4.47368421052632,3.85714285714286,3.0,3.25,6.66666666666667,5.5625,6.0,6.45454545454545,7.29411764705882,6.15,4.05,4.95238095238095,3.53333333333333
BRK,,,,,,,,,,,5.88235294117647,7.36842105263158,5.36842105263158,4.46666666666667
CHA,,,3.36842105263158,2.625,4.38888888888889,5.26666666666667,4.04166666666667,6.0,5.47368421052632,4.5,5.05882352941176,4.5,,
CHH,,,,,,,,,,,,,,
CHI,3.26666666666667,4.15,3.46666666666667,3.10526315789474,3.78571428571429,3.57894736842105,4.84210526315789,4.61111111111111,5.26666666666667,5.78571428571429,6.53333333333333,5.7,6.0,5.4
CHO,,,,,,,,,,,,,4.75,4.33333333333333
CLE,3.57142857142857,3.61904761904762,4.625,4.58823529411765,5.93333333333333,5.52173913043478,5.25,5.11111111111111,4.05263157894737,3.23809523809524,3.36842105263158,3.0,6.5,6.8
DAL,5.58823529411765,5.85714285714286,5.1875,5.0625,6.375,6.7,6.375,7.77777777777778,7.33333333333333,8.1875,6.16666666666667,6.46666666666667,7.31578947368421,7.0
DEN,3.25,4.07142857142857,5.0,5.66666666666667,5.23529411764706,5.3125,6.3125,5.91666666666667,5.55555555555556,4.0,3.66666666666667,4.75,4.3,4.3125
DET,6.0,5.52941176470588,6.05882352941176,5.88235294117647,6.8,5.84210526315789,5.8,5.28571428571429,6.15384615384615,4.64285714285714,4.0625,4.13333333333333,5.52631578947368,4.46666666666667
GSW,2.9375,5.61111111111111,4.66666666666667,3.4,3.2,4.22222222222222,3.0,4.15,3.94117647058824,3.85714285714286,3.5,4.55555555555556,5.2,5.8
HOU,2.1875,6.23529411764706,6.81818181818182,5.0,4.5,4.0,4.75,3.23809523809524,3.55,3.78947368421053,2.2,3.38888888888889,4.2,6.0
IND,2.93333333333333,4.35714285714286,4.63157894736842,5.3125,3.94736842105263,4.0,4.35714285714286,4.26666666666667,4.2,4.46666666666667,3.625,4.70588235294118,4.875,4.85714285714286
LAC,3.2,3.61111111111111,3.88888888888889,4.88888888888889,5.21052631578947,5.23809523809524,5.21052631578947,5.42105263157895,4.35294117647059,5.55555555555556,7.8,7.2,6.55,6.8125
LAL,5.85714285714286,4.86666666666667,4.375,4.29411764705882,4.71428571428571,4.73684210526316,5.25,6.69230769230769,7.9375,6.58823529411765,6.75,5.68421052631579,4.27777777777778,5.2
MEM,2.0,3.5,3.53333333333333,4.875,4.16666666666667,3.57894736842105,3.46666666666667,3.0,3.42105263157895,4.47058823529412,4.19047619047619,5.22222222222222,5.73684210526316,6.73684210526316
MIA,3.42857142857143,4.41176470588235,5.875,4.4,5.14285714285714,4.28571428571429,4.16666666666667,5.66666666666667,8.76470588235294,6.375,7.83333333333333,8.11111111111111,5.71428571428571,7.35294117647059
MIL,4.6,4.375,5.27777777777778,4.8,2.94117647058824,4.28571428571429,5.64705882352941,5.42105263157895,5.76470588235294,4.47058823529412,5.22222222222222,3.23809523809524,3.66666666666667,2.86666666666667
MIN,5.71428571428571,6.29411764705882,6.64285714285714,4.16666666666667,4.5,4.3125,4.35294117647059,3.5625,2.64705882352941,3.73333333333333,3.95,3.76470588235294,3.68,5.13333333333333
NJN,4.78571428571429,5.94444444444444,5.52380952380952,5.70588235294118,4.3125,5.0,4.2,5.0,4.5,4.36363636363636,,,,
NOH,6.5625,6.75,3.90909090909091,,,5.25,6.66666666666667,5.375,4.26315789473684,2.60869565217391,2.84210526315789,,,
NOK,,,,3.73684210526316,3.6,,,,,,,,,
NOP,,,,,,,,,,,,3.57142857142857,3.80952380952381,5.82352941176471
NYK,6.0,6.42857142857143,6.36842105263158,5.10526315789474,4.53333333333333,4.93333333333333,5.04347826086957,4.95,4.4,5.52941176470588,8.89473684210526,7.15789473684211,5.80952380952381,5.0
OKC,,,,,,,4.2,3.44444444444444,4.05555555555556,4.625,4.625,5.61111111111111,4.38095238095238,5.0
ORL,4.70588235294118,3.9047619047619,4.83333333333333,5.27777777777778,4.8,5.4375,6.125,6.41666666666667,7.23529411764706,5.4375,3.83333333333333,3.375,3.8,3.2
PHI,5.5,5.0,5.0,3.64705882352941,4.5,3.93333333333333,6.23076923076923,4.9375,5.2,4.375,4.11764705882353,1.69565217391304,2.16,1.9375
PHO,4.85714285714286,4.47368421052632,3.83333333333333,4.72222222222222,6.64285714285714,6.9375,5.84210526315789,4.93333333333333,5.42105263157895,7.0,4.1875,3.86666666666667,3.73913043478261,4.0
