Season,Team,av_salary
2006-07,"Chicago Bulls",3422181.5
2006-07,"Cleveland Cavaliers",4199515.26666667
2006-07,"Dallas Mavericks",4653781.36842105
2006-07,"Denver Nuggets",4674484.0
2006-07,"Detroit Pistons",3688184.4375
2006-07,"Golden State Warriors",3250618.4
2006-07,"Houston Rockets",3546531.44444444
2006-07,"Indiana Pacers",3706997.94117647
2006-07,"Los Angeles Clippers",2818144.66666667
2006-07,"Los Angeles Lakers",4818746.8125
2006-07,"Memphis Grizzlies",3644734.64705882
2006-07,"Miami Heat",3771841.88235294
2006-07,"Milwaukee Bucks",3342027.26315789
2006-07,"Minnesota Timberwolves",4454711.53333333
2006-07,"New Jersey Nets",3793300.58823529
2006-07,"New Orleans/Oklahoma City Hornets",3359311.9375
2006-07,"New York Knicks",6513937.0
2006-07,"Orlando Magic",3840444.25
2006-07,"Philadelphia 76ers",4067068.41176471
2006-07,"Phoenix Suns",4389408.0
2006-07,"Portland Trail Blazers",4413316.82352941
2006-07,"Sacramento Kings",3572033.94444444
2006-07,"San Antonio Spurs",4376954.66666667
2006-07,"Seattle SuperSonics",3352166.52941176
2006-07,"Toronto Raptors",2834193.94444444
2006-07,"Utah Jazz",3871977.875
2006-07,"Washington Wizards",3690217.94117647
2007-08,"Atlanta Hawks",4269317.92307692
2007-08,"Boston Celtics",5721433.53846154
2007-08,"Charlotte Bobcats",3583031.2
2007-08,"Chicago Bulls",3710833.29411765
2007-08,"Cleveland Cavaliers",5481172.2
2007-08,"Dallas Mavericks",6355929.9375
2007-08,"Denver Nuggets",5184889.1875
2007-08,"Detroit Pistons",4118679.6875
2007-08,"Golden State Warriors",3270963.31578947
2007-08,"Houston Rockets",4086291.23529412
2007-08,"Indiana Pacers",4417349.73333333
2007-08,"Los Angeles Clippers",3814585.0
2007-08,"Los Angeles Lakers",5187628.28571429
2007-08,"Memphis Grizzlies",2848343.47368421
2007-08,"Miami Heat",4398094.29411765
2007-08,"Milwaukee Bucks",4171434.8
2007-08,"Minnesota Timberwolves",3633889.21052632
2007-08,"New Jersey Nets",3254537.42105263
2007-08,"New Orleans Hornets",3913124.4375
2007-08,"New York Knicks",5658242.0
2007-08,"Orlando Magic",3635373.3125
2007-08,"Philadelphia 76ers",4330062.70588235
2007-08,"Phoenix Suns",5486388.38461538
2007-08,"Portland Trail Blazers",4577583.4375
2007-08,"Sacramento Kings",3332956.0
2007-08,"San Antonio Spurs",3686764.36842105
2007-08,"Seattle SuperSonics",3803836.75
2007-08,"Toronto Raptors",4127648.4375
2007-08,"Utah Jazz",4330605.93333333
2007-08,"Washington Wizards",4662785.42857143
2008-09,"Atlanta Hawks",4544589.4
2008-09,"Boston Celtics",6091459.46153846
2008-09,"Charlotte Bobcats",3698054.47058824
2008-09,"Chicago Bulls",4866198.14285714
2008-09,"Cleveland Cavaliers",5706139.5625
2008-09,"Dallas Mavericks",5590915.23529412
2008-09,"Denver Nuggets",4674733.53333333
2008-09,"Detroit Pistons",5494936.46153846
2008-09,"Golden State Warriors",3962306.82352941
2008-09,"Houston Rockets",4311898.35294118
2008-09,"Indiana Pacers",4354301.125
2008-09,"Los Angeles Clippers",3303379.26315789
2008-09,"Los Angeles Lakers",5588985.21428571
2008-09,"Memphis Grizzlies",2945165.68421053
2008-09,"Miami Heat",4656996.33333333
2008-09,"Milwaukee Bucks",4197685.64705882
2008-09,"Minnesota Timberwolves",4152821.5
2008-09,"New Jersey Nets",4177768.2
2008-09,"New Orleans Hornets",4502053.86666667
2008-09,"New York Knicks",7434126.61538462
2008-09,"Oklahoma City Thunder",3596926.57894737
2008-09,"Orlando Magic",5359459.92307692
2008-09,"Philadelphia 76ers",4878643.35714286
2008-09,"Phoenix Suns",5437886.28571429
2008-09,"Portland Trail Blazers",4721179.94117647
2008-09,"Sacramento Kings",3844695.11111111
2008-09,"San Antonio Spurs",3778915.94444444
2008-09,"Toronto Raptors",5246212.14285714
2008-09,"Utah Jazz",4389427.13333333
2008-09,"Washington Wizards",4421457.3125
2009-10,"Atlanta Hawks",4705974.42857143
2009-10,"Boston Celtics",5968012.42857143
2009-10,"Charlotte Bobcats",4905839.85714286
2009-10,"Chicago Bulls",4100021.11764706
2009-10,"Cleveland Cavaliers",4905796.11764706
2009-10,"Dallas Mavericks",6351148.21428571
2009-10,"Denver Nuggets",5352538.42857143
2009-10,"Detroit Pistons",4012388.86666667
2009-10,"Golden State Warriors",3439598.52631579
2009-10,"Houston Rockets",3627103.73684211
2009-10,"Indiana Pacers",4170828.5625
2009-10,"Los Angeles Clippers",3423133.83333333
2009-10,"Los Angeles Lakers",7029081.84615385
2009-10,"Memphis Grizzlies",3015130.21052632
2009-10,"Miami Heat",4947200.86666667
2009-10,"Milwaukee Bucks",4173475.125
2009-10,"Minnesota Timberwolves",3661962.35294118
2009-10,"New Jersey Nets",3492159.70588235
2009-10,"New Orleans Hornets",5011701.92857143
2009-10,"New York Knicks",5714005.06666667
2009-10,"Oklahoma City Thunder",3075718.21052632
2009-10,"Orlando Magic",6323147.38461538
2009-10,"Philadelphia 76ers",4634532.0
2009-10,"Phoenix Suns",4352569.6
2009-10,"Portland Trail Blazers",3349779.88235294
2009-10,"Sacramento Kings",3553458.84210526
2009-10,"San Antonio Spurs",5667022.07142857
2009-10,"Toronto Raptors",4238902.0625
2009-10,"Utah Jazz",5992103.66666667
2009-10,"Washington Wizards",4590017.125
2010-11,"Atlanta Hawks",5104988.78571429
2010-11,"Boston Celtics",5860419.07142857
2010-11,"Charlotte Bobcats",3696816.44444444
