season,team,av_exp
2000-01,WAS,4.05
2001-02,ATL,3.94444444444444
2001-02,BOS,4.3125
2001-02,CHH,5.46666666666667
2001-02,CHI,3.55555555555556
2001-02,CLE,4.33333333333333
2001-02,DAL,4.80952380952381
2001-02,DEN,4.40909090909091
2001-02,DET,5.13333333333333
2001-02,GSW,3.66666666666667
2001-02,HOU,2.93333333333333
2001-02,IND,3.05882352941176
2001-02,LAC,3.5
2001-02,LAL,5.14285714285714
2001-02,MEM,4.41176470588235
2001-02,MIA,5.25
2001-02,MIL,6.0
2001-02,MIN,4.9375
2001-02,NJN,3.4375
2001-02,NYK,7.35714285714286
2001-02,ORL,4.83333333333333
2001-02,PHI,4.05555555555556
2001-02,PHO,4.84210526315789
2001-02,POR,6.0
2001-02,SAC,5.07142857142857
2001-02,SAS,6.07142857142857
2001-02,SEA,2.73333333333333
2001-02,TOR,4.4375
2001-02,TOT,4.16129032258065
2001-02,UTA,4.83333333333333
2001-02,WAS,3.53846153846154
2002-03,ATL,4.47619047619048
2002-03,BOS,5.88235294117647
2002-03,CHI,3.26666666666667
2002-03,CLE,3.57142857142857
2002-03,DAL,5.58823529411765
2002-03,DEN,3.25
2002-03,DET,6.0
2002-03,GSW,2.9375
2002-03,HOU,2.1875
2002-03,IND,2.93333333333333
2002-03,LAC,3.2
2002-03,LAL,5.85714285714286
2002-03,MEM,2.0
2002-03,MIA,3.42857142857143
2002-03,MIL,4.6
2002-03,MIN,5.71428571428571
2002-03,NJN,4.78571428571429
2002-03,NOH,6.5625
2002-03,NYK,6.0
2002-03,ORL,4.70588235294118
2002-03,PHI,5.5
2002-03,PHO,4.85714285714286
2002-03,POR,5.46153846153846
2002-03,SAC,5.57142857142857
2002-03,SAS,6.0
2002-03,SEA,4.0
2002-03,TOR,3.78947368421053
2002-03,TOT,4.38461538461539
2002-03,UTA,5.63636363636364
2002-03,WAS,4.53333333333333
2003-04,ATL,4.04347826086957
2003-04,BOS,4.47368421052632
2003-04,CHI,4.15
2003-04,CLE,3.61904761904762
2003-04,DAL,5.85714285714286
2003-04,DEN,4.07142857142857
2003-04,DET,5.52941176470588
2003-04,GSW,5.61111111111111
2003-04,HOU,6.23529411764706
2003-04,IND,4.35714285714286
2003-04,LAC,3.61111111111111
2003-04,LAL,4.86666666666667
2003-04,MEM,3.5
2003-04,MIA,4.41176470588235
2003-04,MIL,4.375
2003-04,MIN,6.29411764705882
2003-04,NJN,5.94444444444444
2003-04,NOH,6.75
2003-04,NYK,6.42857142857143
2003-04,ORL,3.9047619047619
2003-04,PHI,5.0
2003-04,PHO,4.47368421052632
2003-04,POR,4.29166666666667
2003-04,SAC,6.84615384615385
2003-04,SAS,5.35294117647059
2003-04,SEA,3.57142857142857
2003-04,TOR,5.17391304347826
2003-04,TOT,5.57352941176471
