Team\Season,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
"Atlanta Hawks",3095086.05555556,4606952.85714286,2566226.0,2862970.2,2556945.89473684,4269317.92307692,4544589.4,4705974.42857143,5104988.78571429,4604369.5,,,,
"Boston Celtics",4042168.84615385,4012394.33333333,3798668.0,3347488.23529412,3496193.27777778,5721433.53846154,6091459.46153846,5968012.42857143,5860419.07142857,5321368.66666667,,,,
"Charlotte Bobcats",,,1495161.125,2230595.46666667,2468473.29411765,3583031.2,3698054.47058824,4905839.85714286,3696816.44444444,3860134.93333333,,,,
"Chicago Bulls",2619476.17647059,3468112.3125,2934581.21052632,3362737.05882353,3422181.5,3710833.29411765,4866198.14285714,4100021.11764706,4195236.61538462,4967746.21428571,,,,
"Cleveland Cavaliers",3307363.2,2886654.5,3278351.6,3420264.13333333,4199515.26666667,5481172.2,5706139.5625,4905796.11764706,3175883.58823529,3604199.94444444,,,,
"Dallas Mavericks",4052239.77777778,5654985.14285714,5406379.0,4922741.6,4653781.36842105,6355929.9375,5590915.23529412,6351148.21428571,5338118.125,5727954.53846154,,,,
"Denver Nuggets",2584695.21052632,2462415.375,3265463.0,3766144.8,4674484.0,5184889.1875,4674733.53333333,5352538.42857143,4858520.71428571,3903544.86666667,,,,
"Detroit Pistons",2986118.0,3562855.6,3422655.0625,3726204.6875,3688184.4375,4118679.6875,5494936.46153846,4012388.86666667,4646015.5,4728240.33333333,,,,
"Golden State Warriors",2983607.1875,2965372.66666667,3662914.86666667,4079611.85714286,3250618.4,3270963.31578947,3962306.82352941,3439598.52631579,4561022.4,3622170.64705882,,,,
"Houston Rockets",3336324.33333333,3258907.64705882,3767768.9375,3297971.61904762,3546531.44444444,4086291.23529412,4311898.35294118,3627103.73684211,4821043.6,3563859.6875,,,,
"Indiana Pacers",3819451.64285714,3877082.4,3477093.68421053,4924486.1875,3706997.94117647,4417349.73333333,4354301.125,4170828.5625,4068039.375,3682434.5,,,,
"Los Angeles Clippers",2386432.05555556,2583162.13333333,3248804.64285714,3021096.76470588,2818144.66666667,3814585.0,3303379.26315789,3423133.83333333,3326583.0625,3960787.58823529,,,,
"Los Angeles Lakers",4510798.71428571,4274872.33333333,4337273.2,4289290.88235294,4818746.8125,5187628.28571429,5588985.21428571,7029081.84615385,6530581.42857143,5516529.875,,,,
"Memphis Grizzlies",3588774.82352941,3586145.1875,3941813.52941176,3972090.47058824,3644734.64705882,2848343.47368421,2945165.68421053,3015130.21052632,4131843.76470588,4414250.4375,,,,
"Miami Heat",3825221.73333333,2785257.29411765,3720220.5625,3374025.11111111,3771841.88235294,4398094.29411765,4656996.33333333,4947200.86666667,4078665.4375,4941163.86666667,,,,
"Milwaukee Bucks",4142510.85714286,3326864.125,2872412.3,3707206.70588235,3342027.26315789,4171434.8,4197685.64705882,4173475.125,4063334.70588235,4012825.86666667,,,,
"Minnesota Timberwolves",3967920.06666667,4751469.46666667,5394108.53846154,3435010.33333333,4454711.53333333,3633889.21052632,4152821.5,3661962.35294118,3341320.1875,3789622.6,,,,
"New Jersey Nets",3775807.4375,3352480.15789474,3665598.66666667,4153084.375,3793300.58823529,3254537.42105263,4177768.2,3492159.70588235,3899732.6,3264061.75,,,,
"New Orleans Hornets",3175634.42857143,3320013.6,3325881.88235294,,,3913124.4375,4502053.86666667,5011701.92857143,4013572.29411765,3635611.55555556,,,,
"New Orleans/Oklahoma City Hornets",,,,2741791.06666667,3359311.9375,,,,,,,,,
"New York Knicks",5497198.76470588,5261460.0,6410471.1875,6664794.63157895,6513937.0,5658242.0,7434126.61538462,5714005.06666667,4467770.8,4763005.75,,,,
"Oklahoma City Thunder",,,,,,,3596926.57894737,3075718.21052632,3994463.42857143,3718856.8125,,,,
"Orlando Magic",3152209.125,2662548.36842105,4429683.26666667,4736548.875,3840444.25,3635373.3125,5359459.92307692,6323147.38461538,6483628.85714286,5435176.5625,,,,
"Philadelphia 76ers",4298201.93333333,3740462.5,3997326.55555556,4463542.10526316,4067068.41176471,4330062.70588235,4878643.35714286,4634532.0,4922517.57142857,4762312.0,,,,
"Phoenix Suns",3944648.57142857,4780840.71428571,2973245.46666667,3154238.88235294,4389408.0,5486388.38461538,5437886.28571429,4352569.6,4394703.33333333,5040036.0,,,,
"Portland Trail Blazers",6211509.23529412,5184798.0,4921841.70588235,3751122.75,4413316.82352941,4577583.4375,4721179.94117647,3349779.88235294,4972270.53333333,4973033.5,,,,
"Sacramento Kings",4694439.73333333,4883773.28571429,4754437.53846154,4831690.38461538,3572033.94444444,3332956.0,3844695.11111111,3553458.84210526,2829279.0625,3496445.42857143,,,,
"San Antonio Spurs",3545503.93333333,2904004.0,3365631.85714286,4192548.2,4376954.66666667,3686764.36842105,3778915.94444444,5667022.07142857,3659069.0,4337221.29411765,,,,
"Seattle SuperSonics",4089806.07692308,3489831.73333333,3588086.73333333,3078336.1875,3352166.52941176,3803836.75,,,,,,,,
"Toronto Raptors",2916221.42105263,3707837.82352941,3427987.5,3671287.29411765,2834193.94444444,4127648.4375,5246212.14285714,4238902.0625,3683823.57894737,3670869.93333333,,,,
"Utah Jazz",3183414.3125,2171729.625,2901050.66666667,3824860.13333333,3871977.875,4330605.93333333,4389427.13333333,5992103.66666667,5418235.42857143,4380673.92307692,,,,
"Washington Wizards",2457431.05263158,3263064.42857143,3319803.33333333,3637063.13333333,3690217.94117647,4662785.42857143,4421457.3125,4590017.125,3240277.11111111,3692423.0,,,,
